,address_no,description,satuan,Unit
100,KALTIM1.SIGNAL.AI.10LAE21AA101XQ12,Unit #1 - Side-A primary desuperheater water control valve position feedba,%,Unit 1
101,KALTIM1.SIGNAL.AI.10LAE21CF101DP,Unit #1 - Side-A primary desuperheater water flow,Pa,Unit 1
102,KALTIM1.SIGNAL.AI.10HJF10CP101,Unit #1 - Upper bed oil gun inlet oil filter differential pressure,KPa,Unit 1
103,KALTIM1.SIGNAL.AI.10HJF10AA101XQ12,Unit #1 - Upper bed return igniting oil control valve position feedback,%,Unit 1
104,KALTIM1.SIGNAL.AI.10HJS10AA101XQ12,Unit #1 - Upper bed purging steam inlet control valve position feedback,%,Unit 1
105,KALTIM1.SIGNAL.AI.10HJS10CP101,Unit #1 - Upper bed purging steam inlet pressure,MPa,Unit 1
106,KALTIM1.SIGNAL.AI.10HJL10CP101,Unit #1 - Upper bed oil gun flame detecting cooling air main pipe pressure,MPa,Unit 1
107,KALTIM1.SIGNAL.AI.10LBA01CP101,Unit #1 - Side-A HT superheater outlet pipe steam pressure,MPa,Unit 1
108,KALTIM1.SIGNAL.AI.10HJF10CP102,Unit #1 - Upper bed igniting oil main pipe pressure,MPa,Unit 1
109,KALTIM1.SIGNAL.AI.10HJA11CB101,Unit #1 - A upper igniting burner #1 flame detector flame intensity,%,Unit 1
110,KALTIM1.SIGNAL.AI.10HJA11CB102,Unit #1 - A upper igniting burner #2 flame detector flame intensity,%,Unit 1
111,KALTIM1.SIGNAL.AI.10HJA11CB103,Unit #1 - A upper igniting burner #3 flame detector flame intensity,%,Unit 1
112,KALTIM1.SIGNAL.AI.10HJA12CB101,Unit #1 - B upper igniting burner #1 flame detector flame intensity,%,Unit 1
113,KALTIM1.SIGNAL.AI.10HJA12CB102,Unit #1 - B upper igniting burner #2 flame detector flame intensity,%,Unit 1
114,KALTIM1.SIGNAL.AI.10HJA12CB103,Unit #1 - B upper igniting burner #3 flame detector flame intensity,%,Unit 1
115,KALTIM1.SIGNAL.AI.10HJA13CB101,Unit #1 - C upper igniting burner #1 flame detector flame intensity,%,Unit 1
116,KALTIM1.SIGNAL.AI.10HJA13CB102,Unit #1 - C upper igniting burner #2 flame detector flame intensity,%,Unit 1
117,KALTIM1.SIGNAL.AI.10HJA13CB103,Unit #1 - C upper igniting burner #3 flame detector flame intensity,%,Unit 1
118,KALTIM1.SIGNAL.AI.10HJA14CB101,Unit #1 - D upper igniting burner #1 flame detector flame intensity,%,Unit 1
119,KALTIM1.SIGNAL.AI.10HJA14CB102,Unit #1 - D upper igniting burner #2 flame detector flame intensity,%,Unit 1
120,KALTIM1.SIGNAL.AI.10HJA14CB103,Unit #1 - D upper igniting burner #3 flame detector flame intensity,%,Unit 1
121,KALTIM1.SIGNAL.AI.10HFB50AF001XQ01,Unit #1 - E coal feeder speed feedback,%,Unit 1
122,KALTIM1.SIGNAL.AI.10HFB50AF001XQ02,Unit #1 - E coal feeder flow feedback,t/h,Unit 1
123,KALTIM1.SIGNAL.AI.10HEW15CF101DP,Unit #1 - E coal feeder seal air flow,Pa,Unit 1
124,KALTIM1.SIGNAL.AI.10HFE51CF101DP,Unit #1 - E inlet coal spreading air flow (lower),Pa,Unit 1
125,KALTIM1.SIGNAL.AI.10HFE52CF101DP,Unit #1 - E inlet coal spreading air flow (upper),Pa,Unit 1
126,KALTIM1.SIGNAL.AI.10LAE23AA101XQ12,Unit #1 - Side-A secondary desuperheater water control valve position feed,%,Unit 1
127,KALTIM1.SIGNAL.AI.10LAE23CF101DP,Unit #1 - Side-A secondary desuperheater water flow,Pa,Unit 1
128,KALTIM1.SIGNAL.AI.10HFB60AF001XQ01,Unit #1 - F coal feeder speed feedback,%,Unit 1
129,KALTIM1.SIGNAL.AI.10HFB60AF001XQ02,Unit #1 - F coal feeder flow feedback,t/h,Unit 1
130,KALTIM1.SIGNAL.AI.10HEW16CF101DP,Unit #1 - F coal feeder seal air flow,Pa,Unit 1
131,KALTIM1.SIGNAL.AI.10HFE61CF101DP,Unit #1 - F inlet coal spreading air flow (lower),Pa,Unit 1
132,KALTIM1.SIGNAL.AI.10HFE62CF101DP,Unit #1 - F inlet coal spreading air flow (upper),Pa,Unit 1
133,KALTIM1.SIGNAL.AI.10LAB50CP102,Unit #1 - Economizer inlet water pressure,MPa,Unit 1
134,KALTIM1.SIGNAL.AI.10HBK11CP101,Unit #1 - Side-A furnace upper pressure,Pa,Unit 1
135,KALTIM1.SIGNAL.AI.10HBK11CP102,Unit #1 - Side-A furnace differencial pressure,Pa,Unit 1
136,KALTIM1.SIGNAL.AI.10HBK11CP103,Unit #1 - Side-A furnace middle pressure,KPa,Unit 1
137,KALTIM1.SIGNAL.AI.10HBK11CP105,Unit #1 - Side-A furnace bed pressure 1,KPa,Unit 1
138,KALTIM1.SIGNAL.AI.10HBK11CP106,Unit #1 - Side-A furnace bed pressure 2,KPa,Unit 1
139,KALTIM1.SIGNAL.AI.10HBK11CP107,Unit #1 - Side-A furnace bed pressure 3,KPa,Unit 1
140,KALTIM1.SIGNAL.AI.10HBK11CP108,Unit #1 - Side-A furnace air chamber inlet duct pressure,KPa,Unit 1
141,KALTIM1.SIGNAL.AI.10HFB30AF001XQ01,Unit #1 - C coal feeder speed feedback,%,Unit 1
142,KALTIM1.SIGNAL.AI.10HFB30AF001XQ02,Unit #1 - C coal feeder flow feedback,t/h,Unit 1
143,KALTIM1.SIGNAL.AI.10HEW13CF101DP,Unit #1 - C coal feeder seal air flow,Pa,Unit 1
144,KALTIM1.SIGNAL.AI.10HFE31CF101DP,Unit #1 - C inlet coal spreading air flow (lower),Pa,Unit 1
145,KALTIM1.SIGNAL.AI.10HFE32CF101DP,Unit #1 - C inlet coal spreading air flow (upper),Pa,Unit 1
146,KALTIM1.SIGNAL.AI.10LAB50CF101DP,Unit #1 - Main boiler feed water flow 1,KPa,Unit 1
147,KALTIM1.SIGNAL.AI.10LAB50CF102DP,Unit #1 - Main boiler feed water flow 2,KPa,Unit 1
148,KALTIM1.SIGNAL.AI.10HAD01CP101,Unit #1 - Drum pressure 1,MPa,Unit 1
149,KALTIM1.SIGNAL.AI.10HAD01CP102,Unit #1 - Drum pressure 2,MPa,Unit 1
150,KALTIM1.SIGNAL.AI.10HAD01CP103,Unit #1 - Drum pressure 3,MPa,Unit 1
151,KALTIM1.SIGNAL.AI.10HAD01CL101,Unit #1 - Drum water level 1,Pa,Unit 1
152,KALTIM1.SIGNAL.AI.10HAD01CL102,Unit #1 - Drum water level 2,Pa,Unit 1
153,KALTIM1.SIGNAL.AI.10HAD01CL103,Unit #1 - Drum water level 3,Pa,Unit 1
154,KALTIM1.SIGNAL.AI.10LAB61AA101XQ12,Unit #1 - Main feed water control valve position feedback,%,Unit 1
155,KALTIM1.SIGNAL.AI.10HBK21CP101,Unit #1 - Side-B furnace upper pressure,Pa,Unit 1
156,KALTIM1.SIGNAL.AI.10HBK21CP102,Unit #1 - Side-B furnace differencial pressure,Pa,Unit 1
157,KALTIM1.SIGNAL.AI.10HBK21CP103,Unit #1 - Side-B furnace middle pressure,KPa,Unit 1
158,KALTIM1.SIGNAL.AI.10HBK21CP105,Unit #1 - Side-B furnace bed pressure 1,KPa,Unit 1
159,KALTIM1.SIGNAL.AI.10HBK21CP106,Unit #1 - Side-B furnace bed pressure 2,KPa,Unit 1
160,KALTIM1.SIGNAL.AI.10HBK21CP107,Unit #1 - Side-B furnace bed pressure 3,KPa,Unit 1
161,KALTIM1.SIGNAL.AI.10HBK21CP108,Unit #1 - Side-B furnace air chamber inlet duct pressure,KPa,Unit 1
162,KALTIM1.SIGNAL.AI.10LBA02CP101,Unit #1 - Side-B HT superheater outlet pipe steam pressure,MPa,Unit 1
163,KALTIM1.SIGNAL.AI.10LAE22AA101XQ12,Unit #1 - Side-B primary desuperheater water control valve position feedba,%,Unit 1
164,KALTIM1.SIGNAL.AI.10LAE22CF101DP,Unit #1 - Side-B primary desuperheater water flow,Pa,Unit 1
165,KALTIM1.SIGNAL.AI.10LAE24AA101XQ12,Unit #1 - Side-B secondary desuperheater water control valve position feed,%,Unit 1
166,KALTIM1.SIGNAL.AI.10LAE24CF101DP,Unit #1 - Side-B secondary desuperheater water flow,Pa,Unit 1
167,KALTIM1.SIGNAL.AI.10HLA10CP102,Unit #1 - Air preheater primary air inlet pressure,KPa,Unit 1
168,KALTIM1.SIGNAL.AI.10HHL01CP102,Unit #1 - Air preheater primary air differencial pressure,KPa,Unit 1
169,KALTIM1.SIGNAL.AI.10HHL01CP101,Unit #1 - Air preheater primary air outlet pressure,KPa,Unit 1
170,KALTIM1.SIGNAL.AI.10HFE10AA101XQ12,Unit #1 - A coal spreading booster fan inlet control damper position feedb,%,Unit 1
171,KALTIM1.SIGNAL.AI.10HFE10AN001XQ01,Unit #1 - A coal spreading booster fan current,A,Unit 1
172,KALTIM1.SIGNAL.AI.10HFE10CP101,Unit #1 - A coal spreading booster fan outlet pressure,KPa,Unit 1
173,KALTIM1.SIGNAL.AI.10HFE30CP101,Unit #1 - Coal spreading air main pipe pressure,KPa,Unit 1
174,KALTIM1.SIGNAL.AI.10HLB10AA101XQ12,Unit #1 - A primary air fan inlet control valve position feedback,%,Unit 1
175,KALTIM1.SIGNAL.AI.10HLB10AN001XQ01,Unit #1 - A primary air fan current,A,Unit 1
176,KALTIM1.SIGNAL.AI.10HLB10CY101,Unit #1 - A primary air fan front bearing vibration,mm/s,Unit 1
177,KALTIM1.SIGNAL.AI.10HLB10CY102,Unit #1 - A primary air fan rear bearing vibration,mm/s,Unit 1
178,KALTIM1.SIGNAL.AI.10HLA10CP101,Unit #1 - A primary air fan outlet pressure,KPa,Unit 1
179,KALTIM1.SIGNAL.AI.10HDF52CP102,Unit #1 - Side-A U valve chamber air pressure 1,KPa,Unit 1
180,KALTIM1.SIGNAL.AI.10HDF52CP103,Unit #1 - Side-A U valve chamber air pressure 2,KPa,Unit 1
181,KALTIM1.SIGNAL.AI.10HHL02CF101DP,Unit #1 - A air duct ignitor inlet hot primary air flow,Pa,Unit 1
182,KALTIM1.SIGNAL.AI.10HHL02AA101XQ12,Unit #1 - A air duct ignitor inlet motor-driven control damper 1 position ,%,Unit 1
183,KALTIM1.SIGNAL.AI.10HHL02AA102XQ12,Unit #1 - A air duct ignitor inlet motor-driven control damper 2 position ,%,Unit 1
184,KALTIM1.SIGNAL.AI.10HHL02AA103XQ12,Unit #1 - A air duct ignitor inlet motor-driven control damper 3 position ,%,Unit 1
185,KALTIM1.SIGNAL.AI.10HHL02CP101,Unit #1 - Furnace air chamber pressure 1,KPa,Unit 1
186,KALTIM1.SIGNAL.AI.10HFE10CY101,Unit #1 - A coal spreading booster fan front bearing vibration,mm/s,Unit 1
187,KALTIM1.SIGNAL.AI.10HFE10CY102,Unit #1 - A coal spreading booster fan rear bearing vibration,mm/s,Unit 1
188,KALTIM1.SIGNAL.AI.10HHL04CF101DP,Unit #1 - Upper bed burner hot primary air flow,Pa,Unit 1
189,KALTIM1.SIGNAL.AI.10HHL05AA101XQ12,Unit #1 - Front wall upper bed burner hot primary air control damper 1 pos,%,Unit 1
190,KALTIM1.SIGNAL.AI.10HHL06AA101XQ12,Unit #1 - Back wall upper bed burner hot primary air control damper 1 posi,%,Unit 1
191,KALTIM1.SIGNAL.AI.10HLB30AA101XQ12,Unit #1 - A secondary air fan inlet control valve position feedback,%,Unit 1
192,KALTIM1.SIGNAL.AI.10HLB30AN001XQ01,Unit #1 - A secondary air fan current,A,Unit 1
193,KALTIM1.SIGNAL.AI.10HLB30CY101,Unit #1 - A secondary air fan front bearing vibration,mm/s,Unit 1
194,KALTIM1.SIGNAL.AI.10HLB30CY102,Unit #1 - A secondary air fan rear bearing vibration,mm/s,Unit 1
195,KALTIM1.SIGNAL.AI.10HLA30CP101,Unit #1 - A secondary air fan outlet pressure,KPa,Unit 1
196,KALTIM1.SIGNAL.AI.10HLA30CP102,Unit #1 - Air preheater secondary air differencial pressure,KPa,Unit 1
197,KALTIM1.SIGNAL.AI.10HHL10CP101,Unit #1 - Side-A hot secondary air pressure,KPa,Unit 1
198,KALTIM1.SIGNAL.AI.10HHL11CF101DP,Unit #1 - Side-A front upper secondary air flow,Pa,Unit 1
199,KALTIM1.SIGNAL.AI.10HHL11AA101XQ12,Unit #1 - Side-A front upper secondary air inlet control valve position fe,%,Unit 1
200,KALTIM1.SIGNAL.AI.10HHL11CP101,Unit #1 - Upper secondary air box pressure,KPa,Unit 1
201,KALTIM1.SIGNAL.AI.10HHL13CF101DP,Unit #1 - Side-A front lower secondary air flow,Pa,Unit 1
202,KALTIM1.SIGNAL.AI.10HHL13AA101XQ12,Unit #1 - Side-A front lower secondary air inlet control valve position fe,%,Unit 1
203,KALTIM1.SIGNAL.AI.10HHL12CF101DP,Unit #1 - Side-A back upper secondary air flow,Pa,Unit 1
204,KALTIM1.SIGNAL.AI.10HHL12AA101XQ12,Unit #1 - Side-A back upper secondary air inlet control valve position fee,%,Unit 1
205,KALTIM1.SIGNAL.AI.10HHL14CF101DP,Unit #1 - Side-A back lower secondary air flow,Pa,Unit 1
206,KALTIM1.SIGNAL.AI.10HHL14AA101XQ12,Unit #1 - Side-A back lower secondary air inlet control valve position fee,%,Unit 1
207,KALTIM1.SIGNAL.AI.10HHL13CP101,Unit #1 - Lower secondary air box pressure,KPa,Unit 1
208,KALTIM1.SIGNAL.AI.10HDF10AN001XQ01,Unit #1 - A HP fluidizing air fan current,A,Unit 1
209,KALTIM1.SIGNAL.AI.10HDF10CP101,Unit #1 - A HP fluidizing air fan outlet pressure,KPa,Unit 1
210,KALTIM1.SIGNAL.AI.10HDF52AA101XQ12,Unit #1 - A return material tank inlet control valve 1 position feedback,%,Unit 1
211,KALTIM1.SIGNAL.AI.10HDF53AA101XQ12,Unit #1 - A return material tank inlet control valve 2 position feedback,%,Unit 1
212,KALTIM1.SIGNAL.AI.10HDF52CF101DP,Unit #1 - A return material tank inlet air flow 1,Pa,Unit 1
213,KALTIM1.SIGNAL.AI.10HDF53CF101DP,Unit #1 - A return material tank inlet air flow 2,Pa,Unit 1
214,KALTIM1.SIGNAL.AI.10HDF54CF101DP,Unit #1 - A return material tank inlet air flow 3,Pa,Unit 1
215,KALTIM1.SIGNAL.AI.10HDF55CF101DP,Unit #1 - A return material tank inlet air flow 4,Pa,Unit 1
216,KALTIM1.SIGNAL.AI.10HDF56CF101DP,Unit #1 - A return material tank inlet air flow 5,Pa,Unit 1
217,KALTIM1.SIGNAL.AI.10HDF11CP101,Unit #1 - A cyclone separator differential pressure between outlet and inl,KPa,Unit 1
218,KALTIM1.SIGNAL.AI.10HDF11CP102,Unit #1 - A cyclone separator outlet fule gas pressure,KPa,Unit 1
219,KALTIM1.SIGNAL.AI.10HDF11CP105,Unit #1 - Side-A U valve sealing height,KPa,Unit 1
220,KALTIM1.SIGNAL.AI.10HDF11CP103,Unit #1 - Side-A U valve inlet pressure,KPa,Unit 1
221,KALTIM1.SIGNAL.AI.10HDF11CP104,Unit #1 - Side-A U valve outlet pressure (LP),KPa,Unit 1
222,KALTIM1.SIGNAL.AI.10HDF11CP106,Unit #1 - Side-A U valve outlet pressure (HP),KPa,Unit 1
223,KALTIM1.SIGNAL.AI.10HDF11CD101,Unit #1 - Side-A U valve density,KPa,Unit 1
224,KALTIM1.SIGNAL.AI.10HBK31CP101,Unit #1 - Side-A high temperature super heater inlet flue gas pressure,KPa,Unit 1
225,KALTIM1.SIGNAL.AI.10HBK31CP102,Unit #1 - Side-A low temperature super heater inlet flue gas pressure,KPa,Unit 1
226,KALTIM1.SIGNAL.AI.10HBK31CP103,Unit #1 - Side-A low temperature super heater outlet flue gas pressure,KPa,Unit 1
227,KALTIM1.SIGNAL.AI.10HBK31CP104,Unit #1 - Side-A economiser outlet flue gas pressure,KPa,Unit 1
228,KALTIM1.SIGNAL.AI.10HBK31CQ101,Unit #1 - Side-A air preheater inlet flue gas oxygen content,%,Unit 1
229,KALTIM1.SIGNAL.AI.10HBK31CP105,Unit #1 - Side-A air preheater outlet flue gas pressure,KPa,Unit 1
230,KALTIM1.SIGNAL.AI.10HBK31CP106,Unit #1 - Differential pressure between side-A air preheater outlet and ec,KPa,Unit 1
231,KALTIM1.SIGNAL.AI.10HNA10CP101,Unit #1 - A iuduced draft fan inlet flue gas pressure,KPa,Unit 1
232,KALTIM1.SIGNAL.AI.10HNA10AA101XQ12,Unit #1 - A iuduced draft fan inlet control damper position feedback,%,Unit 1
233,KALTIM1.SIGNAL.AI.10HNC10AN001XQ01,Unit #1 - A iuduced draft fan current,A,Unit 1
234,KALTIM1.SIGNAL.AI.10HNC10CY101,Unit #1 - A IDF front bearing vibration,mm/s,Unit 1
